Tidsstempel,pådrag,tank,referanse
2026-05-03 17:26:24,36,39.86000061035156,40
2026-05-03 17:26:24,34,39.939998626708984,40
2026-05-03 17:26:24,37,39.88999938964844,40
2026-05-03 17:26:24,33,40.0099983215332,40
2026-05-03 17:26:24,35,40.0,40
2026-05-03 17:26:25,34,40.02000045776367,40
2026-05-03 17:26:25,33,40.09000015258789,40
2026-05-03 17:26:25,34,40.099998474121094,40
2026-05-03 17:26:25,37,40.119998931884766,40
2026-05-03 17:26:25,37,40.09000015258789,40
2026-05-03 17:26:25,39,40.04999923706055,40
2026-05-03 17:26:25,37,40.09000015258789,40
2026-05-03 17:26:25,41,39.970001220703125,40
2026-05-03 17:26:25,39,39.97999954223633,40
2026-05-03 17:26:26,36,40.029998779296875,40
2026-05-03 17:26:26,36,40.02000045776367,40
2026-05-03 17:26:26,39,39.939998626708984,40
2026-05-03 17:26:26,39,39.91999816894531,
2026-05-03 17:26:26,38,40.02000045776367,40
2026-05-03 17:26:26,39,39.959999084472656,40
2026-05-03 17:26:27,38,39.939998626708984,40
2026-05-03 17:26:27,42,39.79999923706055,40
2026-05-03 17:26:27,39,39.810001373291016,40
2026-05-03 17:26:27,40,39.7400016784668,40
2026-05-03 17:26:27,39,39.7599983215332,40
2026-05-03 17:26:27,35,39.790000915527344,40
2026-05-03 17:26:27,39,39.75,
2026-05-03 17:26:27,37,39.689998626708984,40
2026-05-03 17:26:28,38,39.689998626708984,40
2026-05-03 17:26:28,31,39.81999969482422,40
2026-05-03 17:26:28,36,39.79999923706055,40
2026-05-03 17:26:28,37,39.790000915527344,40
2026-05-03 17:26:28,34,39.849998474121094,40
2026-05-03 17:26:28,34,39.91999816894531,40
2026-05-03 17:26:28,39,39.880001068115234,40
2026-05-03 17:26:28,37,39.900001525878906,40
2026-05-03 17:26:29,38,39.86000061035156,40
2026-05-03 17:26:29,38,39.849998474121094,40
2026-05-03 17:26:29,38,39.849998474121094,40
2026-05-03 17:26:29,38,39.81999969482422,40
2026-05-03 17:26:29,37,39.79999923706055,40
2026-05-03 17:26:29,35,39.79999923706055,40
2026-05-03 17:26:29,37,39.81999969482422,40
2026-05-03 17:26:29,35,39.869998931884766,40
2026-05-03 17:26:30,36,39.88999938964844,40
2026-05-03 17:26:30,39,39.810001373291016,40
2026-05-03 17:26:30,38,39.83000183105469,40
2026-05-03 17:26:30,36,39.849998474121094,40
2026-05-03 17:26:30,36,39.849998474121094,40
2026-05-03 17:26:30,33,39.939998626708984,40
2026-05-03 17:26:30,35,39.939998626708984,40
2026-05-03 17:26:30,36,39.959999084472656,40
2026-05-03 17:26:30,35,39.9900016784668,40
2026-05-03 17:26:31,36,39.9900016784668,40
2026-05-03 17:26:31,37,39.970001220703125,40
2026-05-03 17:26:31,36,39.97999954223633,40
2026-05-03 17:26:31,39,39.939998626708984,40
2026-05-03 17:26:31,34,40.029998779296875,40
2026-05-03 17:26:31,32,40.06999969482422,40
2026-05-03 17:26:31,34,40.119998931884766,40
2026-05-03 17:26:31,39,40.06999969482422,40
2026-05-03 17:26:31,40,40.0,40
2026-05-03 17:26:32,39,39.959999084472656,40
2026-05-03 17:26:32,39,39.939998626708984,40
2026-05-03 17:26:32,38,39.91999816894531,40
2026-05-03 17:26:32,36,39.91999816894531,40
2026-05-03 17:26:32,36,39.90999984741211,40
2026-05-03 17:26:32,40,39.869998931884766,40
2026-05-03 17:26:32,37,39.900001525878906,40
2026-05-03 17:26:32,40,39.790000915527344,40
2026-05-03 17:26:33,31,39.970001220703125,40
2026-05-03 17:26:33,35,39.939998626708984,40
2026-05-03 17:26:33,39,39.86000061035156,40
2026-05-03 17:26:33,37,39.86000061035156,40
2026-05-03 17:26:33,39,39.83000183105469,40
2026-05-03 17:26:33,34,39.91999816894531,40
2026-05-03 17:26:33,38,39.88999938964844,40
2026-05-03 17:26:33,40,39.869998931884766,40
2026-05-03 17:26:33,38,39.86000061035156,40
2026-05-03 17:26:34,38,39.83000183105469,40
2026-05-03 17:26:34,38,39.81999969482422,40
2026-05-03 17:26:34,32,39.93000030517578,40
2026-05-03 17:26:34,31,39.970001220703125,40
2026-05-03 17:26:34,34,40.060001373291016,40
2026-05-03 17:26:34,36,40.029998779296875,40
2026-05-03 17:26:34,38,40.0099983215332,40
2026-05-03 17:26:34,37,39.9900016784668,40
2026-05-03 17:26:34,33,40.11000061035156,40
2026-05-03 17:26:35,36,40.119998931884766,40
2026-05-03 17:26:35,33,40.220001220703125,40
2026-05-03 17:26:35,35,40.15999984741211,40
2026-05-03 17:26:35,37,40.150001525878906,40
2026-05-03 17:26:35,38,40.099998474121094,40
2026-05-03 17:26:35,37,40.11000061035156,40
2026-05-03 17:26:35,35,40.130001068115234,40
2026-05-03 17:26:35,38,40.04999923706055,40
2026-05-03 17:26:36,36,40.09000015258789,40
2026-05-03 17:26:36,37,40.06999969482422,40
2026-05-03 17:26:36,37,40.04999923706055,40
2026-05-03 17:26:36,37,40.060001373291016,40
2026-05-03 17:26:36,35,40.119998931884766,40
2026-05-03 17:26:36,35,40.099998474121094,40
2026-05-03 17:26:36,37,40.060001373291016,40
2026-05-03 17:26:36,40,39.91999816894531,40
2026-05-03 17:26:36,38,39.93000030517578,40
2026-05-03 17:26:37,40,39.810001373291016,40
2026-05-03 17:26:37,36,39.880001068115234,40
2026-05-03 17:26:37,37,39.88999938964844,40
2026-05-03 17:26:37,37,39.91999816894531,40
2026-05-03 17:26:37,35,39.939998626708984,40
2026-05-03 17:26:37,34,40.0,40
2026-05-03 17:26:37,35,40.0099983215332,40
2026-05-03 17:26:37,35,40.02000045776367,40
2026-05-03 17:26:37,37,39.9900016784668,40
2026-05-03 17:26:37,42,39.90999984741211,40
2026-05-03 17:26:38,38,39.91999816894531,40
