Tidsstempel,pådrag,tank
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,49.0
2026-04-28 17:12:37,49,48.0
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:37,49,48.5
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:38,49,49.5
2026-04-28 17:12:38,49,49.0
2026-04-28 17:12:39,49,49.0
2026-04-28 17:12:39,49,49.0
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,49.5
2026-04-28 17:12:39,49,50.0
2026-04-28 17:12:40,49,50.5
2026-04-28 17:12:40,49,49.5
2026-04-28 17:12:40,49,49.5
2026-04-28 17:12:40,49,49.5
2026-04-28 17:12:40,49,50.0
2026-04-28 17:12:40,49,50.5
2026-04-28 17:12:40,49,50.0
2026-04-28 17:12:40,49,50.0
2026-04-28 17:12:40,49,50.0
2026-04-28 17:12:40,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.0
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:41,49,51.0
2026-04-28 17:12:41,49,50.5
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,50.5
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.5
2026-04-28 17:12:42,49,51.0
2026-04-28 17:12:42,49,51.5
2026-04-28 17:12:43,49,50.5
2026-04-28 17:12:43,49,51.0
2026-04-28 17:12:43,49,51.0
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:43,49,51.5
2026-04-28 17:12:44,49,51.0
2026-04-28 17:12:44,49,51.0
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:44,49,52.0
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:44,49,52.0
2026-04-28 17:12:44,49,51.5
2026-04-28 17:12:45,49,52.0
2026-04-28 17:12:45,49,51.5
2026-04-28 17:12:45,49,51.5
2026-04-28 17:12:45,49,51.5
2026-04-28 17:12:45,49,51.5
2026-04-28 17:12:45,49,52.0
2026-04-28 17:12:45,49,51.5
2026-04-28 17:12:45,49,52.0
2026-04-28 17:12:45,49,52.0
2026-04-28 17:12:45,49,52.0
2026-04-28 17:12:46,40,52.0
2026-04-28 17:12:46,38,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:46,29,52.0
2026-04-28 17:12:46,29,51.5
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,52.0
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,52.0
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,51.5
2026-04-28 17:12:47,29,52.0
2026-04-28 17:12:47,29,51.0
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.0
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.0
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.5
2026-04-28 17:12:48,29,51.0
2026-04-28 17:12:49,29,51.0
2026-04-28 17:12:49,29,51.0
2026-04-28 17:12:49,29,51.0
2026-04-28 17:12:49,29,51.5
2026-04-28 17:12:49,29,51.5
2026-04-28 17:12:49,29,51.0
2026-04-28 17:12:49,29,51.5
2026-04-28 17:12:49,29,50.5
2026-04-28 17:12:49,29,50.5
2026-04-28 17:12:49,29,50.5
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,51.0
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,50.0
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,50.5
2026-04-28 17:12:50,29,51.0
2026-04-28 17:12:50,29,51.0
2026-04-28 17:12:51,29,50.5
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,49.5
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:51,29,50.0
2026-04-28 17:12:52,29,50.0
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,50.0
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.5
2026-04-28 17:12:52,29,49.0
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,50.0
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,49.5
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,49.5
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:53,29,49.0
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,49.0
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,49.0
2026-04-28 17:12:54,29,49.0
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:54,29,48.5
2026-04-28 17:12:55,29,49.0
2026-04-28 17:12:55,29,48.5
2026-04-28 17:12:55,29,48.5
2026-04-28 17:12:55,29,48.5
2026-04-28 17:12:55,29,48.5
2026-04-28 17:12:55,29,49.0
2026-04-28 17:12:55,29,48.5
2026-04-28 17:12:55,29,48.0
2026-04-28 17:12:55,29,48.0
2026-04-28 17:12:55,29,49.0
2026-04-28 17:12:56,29,49.0
2026-04-28 17:12:56,29,48.5
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:56,29,48.5
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:56,29,48.5
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:56,29,48.0
2026-04-28 17:12:57,29,48.5
2026-04-28 17:12:57,40,48.5
2026-04-28 17:12:57,38,48.5
2026-04-28 17:12:57,49,48.5
2026-04-28 17:12:57,49,47.5
2026-04-28 17:12:57,49,48.0
2026-04-28 17:12:57,49,48.0
2026-04-28 17:12:57,49,48.0
2026-04-28 17:12:57,49,48.0
2026-04-28 17:12:57,49,48.0
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.0
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.0
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:58,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,49.5
2026-04-28 17:12:59,49,49.0
2026-04-28 17:12:59,49,48.5
2026-04-28 17:12:59,49,48.5
2026-04-28 17:13:00,49,48.5
2026-04-28 17:13:00,49,48.5
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:00,49,48.5
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:00,49,48.5
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:00,49,49.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,50.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,49.0
2026-04-28 17:13:01,49,50.0
2026-04-28 17:13:01,49,50.5
2026-04-28 17:13:01,49,49.5
2026-04-28 17:13:02,49,49.5
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,49.5
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:02,49,50.0
2026-04-28 17:13:03,49,50.0
2026-04-28 17:13:03,49,50.0
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.0
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:03,49,50.5
2026-04-28 17:13:04,49,50.5
2026-04-28 17:13:04,49,51.0
2026-04-28 17:13:04,49,50.5
2026-04-28 17:13:04,49,51.5
2026-04-28 17:13:04,49,51.0
2026-04-28 17:13:04,49,51.0
2026-04-28 17:13:04,49,50.5
2026-04-28 17:13:04,49,50.5
2026-04-28 17:13:04,49,51.5
2026-04-28 17:13:04,49,51.0
2026-04-28 17:13:05,49,51.0
